git,date,notes,freq,area,power,instrets,cycles,ifu wait,lsu wait,load seen,store seen,system seen,calc seen,jump seen,branch seen,branch taken,icache hits
5981c001767c4524d34deccc7aa6b7a8d1ce95d1,2026-01-26T00:18:04,text,507.068,13112.400000,1.843e+00,202436124,4637442986,3269527463,1165479398,16381879,7367772,70,121593122,4179999,52913282,38588808,-
03de9d84499c8408e85a0cd676a89d592b56fa92,2026-01-27T22:26:41,text,552.927,13097.560000,7.763e-01,202436429,5159432769,3707250509,1249745830,16382219,7368031,70,121592927,4179938,52913244,38588867,-
